window_days,period_start,period_end_exclusive,metric,value,historical_percentile,z_score,historical_sample_size,observation_count,expected_observation_count,period_completeness,is_complete_period,quality_status,quality_reason,documented_event_date,documented_event_source
1,2026-08-25,2026-08-26,temp_mean_c,8.023373357695451,1.0,1.9398258059800513,42,1,1,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
1,2026-08-25,2026-08-26,precip_mm,6.575622818027057,0.19047619047619047,-0.802632968500799,42,1,1,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
1,2026-08-25,2026-08-26,pdd,8.023373357695451,1.0,1.9398258059800513,42,1,1,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
1,2026-08-25,2026-08-26,freeze_thaw_cycles,0.0,1.0,,42,1,1,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
1,2026-08-25,2026-08-26,snowfall_mm_we,0.0191600409970159,0.11904761904761904,-0.4992082776034285,42,1,1,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
1,2026-08-25,2026-08-26,runoff_mm,8.402010967285177,0.2619047619047619,-0.6665400473617551,42,1,1,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
3,2026-08-23,2026-08-26,temp_mean_c,8.043750241725776,1.0,2.1592797627459817,42,3,3,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
3,2026-08-23,2026-08-26,precip_mm,20.795916205000243,0.16666666666666666,-0.9412559408133928,42,3,3,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
3,2026-08-23,2026-08-26,pdd,24.131250725177328,1.0,2.159279762745984,42,3,3,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
3,2026-08-23,2026-08-26,freeze_thaw_cycles,0.0,1.0,,42,3,3,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
3,2026-08-23,2026-08-26,snowfall_mm_we,0.0511160819023784,0.023809523809523808,-0.7840629448489804,42,3,3,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
3,2026-08-23,2026-08-26,runoff_mm,26.786164849220576,0.35714285714285715,-0.5893135232692054,42,3,3,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
7,2026-08-19,2026-08-26,temp_mean_c,7.914667456056043,1.0,2.1575484083241,42,7,7,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
7,2026-08-19,2026-08-26,precip_mm,76.78186006565565,0.42857142857142855,-0.42280591536727474,42,7,7,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
7,2026-08-19,2026-08-26,pdd,55.4026721923923,1.0,2.157548408324099,42,7,7,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
7,2026-08-19,2026-08-26,freeze_thaw_cycles,0.0,1.0,,42,7,7,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
7,2026-08-19,2026-08-26,snowfall_mm_we,0.2820989238930619,0.0,-1.1714780915123146,42,7,7,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
7,2026-08-19,2026-08-26,runoff_mm,78.58187057743771,0.5714285714285714,-0.03185292375999604,42,7,7,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
14,2026-08-12,2026-08-26,temp_mean_c,7.880327231206266,0.9761904761904762,1.8320225943142003,42,14,14,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
14,2026-08-12,2026-08-26,precip_mm,193.67527375340873,0.5952380952380952,0.062470448764641334,42,14,14,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
14,2026-08-12,2026-08-26,pdd,110.32458123688772,0.9761904761904762,1.8320225943142008,42,14,14,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
14,2026-08-12,2026-08-26,freeze_thaw_cycles,0.0,0.9523809523809523,-0.2164304816056765,42,14,14,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
14,2026-08-12,2026-08-26,snowfall_mm_we,3.982269237922959,0.14285714285714285,-0.9310471098592483,42,14,14,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
14,2026-08-12,2026-08-26,runoff_mm,179.67442065519316,0.5952380952380952,0.2259852496278613,42,14,14,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
30,2026-07-27,2026-08-26,temp_mean_c,7.854222357219995,0.9285714285714286,1.8037375257067545,42,30,30,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
30,2026-07-27,2026-08-26,precip_mm,439.0721353048157,0.6904761904761905,0.0678056335724467,42,30,30,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
30,2026-07-27,2026-08-26,pdd,235.62667071659985,0.9285714285714286,1.803737525706756,42,30,30,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
30,2026-07-27,2026-08-26,freeze_thaw_cycles,0.0,0.9523809523809523,-0.2164304816056765,42,30,30,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
30,2026-07-27,2026-08-26,snowfall_mm_we,6.534545113483967,0.023809523809523808,-1.390113817798624,42,30,30,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
30,2026-07-27,2026-08-26,runoff_mm,397.41525669004784,0.6904761904761905,0.22358128703616265,42,30,30,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
60,2026-06-27,2026-08-26,temp_mean_c,7.8654866764195,0.9761904761904762,2.029200398313823,42,60,60,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
60,2026-06-27,2026-08-26,precip_mm,969.7968880982487,0.7142857142857143,0.7782242890280163,42,60,60,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
60,2026-06-27,2026-08-26,pdd,471.92920058517,0.9761904761904762,2.029200398313825,42,60,60,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
60,2026-06-27,2026-08-26,freeze_thaw_cycles,0.0,0.9523809523809523,-0.2164304816056765,42,60,60,1.0,True,GOOD,matched period is complete,2026-08-26,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-2/Nepal_flash_flood_imaged_by_satellites
