date,anomaly_model_name,anomaly_score,anomaly_direction,anomaly_interpretation,anomaly_above_reference_quantile,top_contributing_feature,environmental_regime,regime_PC1,regime_PC2,climate_sar_change_robust_raw,climate_sar_change_robust_percentile,climate_sar_change_isolation_raw,climate_sar_change_isolation_percentile,climate_sar_change_pca_raw,climate_sar_change_pca_percentile
2015-07-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2015-08-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2015-09-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2015-10-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2015-11-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2015-12-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-01-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-02-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-03-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-04-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-05-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-06-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-07-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-08-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-09-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-10-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-11-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2016-12-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2017-01-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2017-02-01,climate_sar_change,,,unusual environmental state,,,,,,,,,,,
2017-03-01,climate_sar_change,0.8081761006289309,above_reference,unusual environmental state,False,precip_7d_adjusted,1,-0.9564351799253297,0.4537808685630063,1.6869549725714537,0.6698113207547169,-0.038237835131322284,0.7924528301886793,0.400988758307965,0.9622641509433962
2017-04-01,climate_sar_change,0.2672955974842767,below_reference,unusual environmental state,False,VH_change_adjusted,1,0.7258961180296418,0.4910103417808452,0.6261827889358421,0.08490566037735849,-0.12434567159276794,0.12264150943396226,0.08835894008468977,0.5943396226415094
2017-05-01,climate_sar_change,0.3679245283018868,below_reference,unusual environmental state,False,PDD_adjusted,1,-2.1783142080945797,0.9890253145315326,1.3661534804714708,0.5094339622641509,-0.07934141602451811,0.46226415094339623,0.012576587269702724,0.1320754716981132
2017-06-01,climate_sar_change,0.669811320754717,below_reference,unusual environmental state,False,precip_7d_adjusted,1,-1.9111132427155904,-3.2504728556573403,1.4685263319815107,0.5471698113207547,-0.03358007174604127,0.8113207547169812,0.11812066985618119,0.6509433962264151
2017-07-01,climate_sar_change,0.38364779874213834,below_reference,unusual environmental state,False,PDD_adjusted,1,-2.373668556551908,-0.04712767376256227,1.0842333863399038,0.3867924528301887,-0.11098706065599401,0.25471698113207547,0.06964709934323528,0.5094339622641509
2017-08-01,climate_sar_change,0.8081761006289309,above_reference,unusual environmental state,False,precip_7d_adjusted,1,-3.059283619595163,4.105440284382007,2.454533526296154,0.8490566037735849,-0.04801460758003445,0.6981132075471698,0.28977999177626285,0.8773584905660378
2017-09-01,climate_sar_change,0.4150943396226415,below_reference,unusual environmental state,False,precip_7d_adjusted,1,-0.34834886079060784,-2.2333070155924544,1.0083849712678585,0.330188679245283,-0.08264259703499427,0.4339622641509434,0.06671378349157557,0.4811320754716981
2017-10-01,climate_sar_change,0.8364779874213837,above_reference,unusual environmental state,False,PDD_adjusted,0,6.344648664049778,-2.1545442563083497,2.9265363998461242,0.9056603773584906,0.002819275117147191,0.8867924528301887,0.1483032120815935,0.7169811320754716
2017-11-01,climate_sar_change,0.43396226415094336,above_reference,unusual environmental state,False,VH_change_adjusted,1,-0.6365425133946305,-1.5674864211295847,0.8178523224277179,0.22641509433962265,-0.10715590523640584,0.3018867924528302,0.1757777111332602,0.7735849056603774
2017-12-01,climate_sar_change,0.5974842767295597,above_reference,unusual environmental state,False,temp_anomaly,1,0.4998343003653787,-0.8112131031161877,1.312188148405602,0.4811320754716981,-0.07701893992478692,0.4716981132075472,0.2064952592170525,0.839622641509434
2018-01-01,climate_sar_change,0.7421383647798742,above_reference,unusual environmental state,False,temp_anomaly,1,1.1536829792656331,-1.0474536267053722,1.6654627808224822,0.6509433962264151,-0.04124715840802057,0.7735849056603774,0.19336196133936345,0.8018867924528302
2018-02-01,climate_sar_change,0.41823899371069184,below_reference,unusual environmental state,False,antecedent_precipitation_index_adjusted,1,0.018920967269300593,-1.2514242728569764,0.7103346099886221,0.16981132075471697,-0.1100519288362744,0.2641509433962264,0.1945936154671384,0.8207547169811321
2018-03-01,climate_sar_change,0.3522012578616352,below_reference,unusual environmental state,False,antecedent_precipitation_index_adjusted,1,-0.4362416708065028,-1.3792670965191351,0.6775364043951495,0.1320754716981132,-0.11989260355788472,0.18867924528301888,0.15517764990530672,0.7358490566037735
2018-04-01,climate_sar_change,0.27044025157232704,above_reference,unusual environmental state,False,precip_7d_adjusted,1,-0.7441836702410471,0.5255934977926815,0.555987834686335,0.05660377358490566,-0.127667758530777,0.09433962264150944,0.11830603273038554,0.660377358490566
2018-05-01,climate_sar_change,0.2672955974842767,below_reference,unusual environmental state,False,antecedent_precipitation_index_adjusted,1,-0.896637510832862,-0.24171186343895634,0.6971385549441903,0.16037735849056603,-0.12046656668351274,0.1792452830188679,0.06305299703923037,0.46226415094339623
2018-06-01,climate_sar_change,0.3616352201257862,below_reference,unusual environmental state,False,PDD_adjusted,1,-1.7303603757246122,0.42165096845431466,0.8397776097741786,0.24528301886792453,-0.11936074908801791,0.19811320754716982,0.11154690883644224,0.6415094339622641
2018-07-01,climate_sar_change,0.2578616352201258,above_reference,unusual environmental state,False,precip_7d_adjusted,1,0.6224691266997698,1.1688724051053943,0.7820404586727451,0.20754716981132076,-0.12265363105358157,0.14150943396226415,0.05673970284474387,0.42452830188679247
2018-08-01,climate_sar_change,0.4842767295597484,above_reference,unusual environmental state,False,antecedent_precipitation_index_adjusted,1,-0.692834196926644,-0.8263640910543248,0.6656888738383545,0.12264150943396226,-0.09589972717579615,0.39622641509433965,0.3412682934772264,0.9339622641509434
2018-09-01,climate_sar_change,0.41823899371069184,below_reference,unusual environmental state,False,PDD_adjusted,1,-4.168464240714845,0.17608534593645148,1.6691619090506022,0.660377358490566,-0.10493158548030723,0.33962264150943394,0.029724134127073042,0.25471698113207547
2018-10-01,climate_sar_change,0.9245283018867925,below_reference,unusual environmental state,True,PDD_adjusted,1,-9.772007999554694,-4.293767282337945,4.262620965061606,0.9905660377358491,0.10886713616103993,0.9905660377358491,0.19296337470233568,0.7924528301886793
2018-11-01,climate_sar_change,0.1886792452830189,below_reference,unusual environmental state,False,VH_change_adjusted,1,-0.16855318520344026,0.4596123082314461,0.6429947483652979,0.10377358490566038,-0.12885125546582,0.08490566037735849,0.04201736795018418,0.37735849056603776
2018-12-01,climate_sar_change,0.19496855345911948,below_reference,unusual environmental state,False,temp_anomaly,1,-0.6874225719732047,0.2924808944549609,0.8885025980772029,0.2641509433962264,-0.10885640667281515,0.2830188679245283,0.004773334920726824,0.03773584905660377
2019-01-01,climate_sar_change,0.49685534591194974,below_reference,unusual environmental state,False,temp_anomaly,1,-0.8337717594173185,2.130761242642976,1.5831705077643214,0.6037735849056604,-0.05294270518606442,0.6698113207547169,0.021643030562681104,0.2169811320754717
2019-02-01,climate_sar_change,0.569182389937107,above_reference,unusual environmental state,False,precip_7d_adjusted,1,-0.34302104631394414,3.1434819474328224,1.4921879192867535,0.5754716981132075,-0.054006961622946936,0.660377358490566,0.06511751516607046,0.4716981132075472
2019-03-01,climate_sar_change,0.5125786163522013,above_reference,unusual environmental state,False,VV_change_adjusted,1,-0.8107872974782016,0.13166391049766296,1.218642213109399,0.44339622641509435,-0.07701270554710987,0.4811320754716981,0.10619987028683209,0.6132075471698113
2019-04-01,climate_sar_change,0.7924528301886792,below_reference,unusual environmental state,False,VH_change_adjusted,1,0.8974492882544308,3.132574514382022,2.6224583058130126,0.8679245283018868,0.061757676142650486,0.9339622641509434,0.08574980979164959,0.5754716981132075
2019-05-01,climate_sar_change,0.6823899371069183,below_reference,unusual environmental state,False,PDD_adjusted,1,-6.761788994719468,-3.572976746033411,3.051240439340725,0.9150943396226415,0.04608465804164397,0.9245283018867925,0.020780209782900655,0.20754716981132076
2019-06-01,climate_sar_change,0.6823899371069183,below_reference,unusual environmental state,False,PDD_adjusted,1,-3.8067241934349427,-4.326054847662993,2.2630907665312923,0.8113207547169812,0.03322067807004814,0.9150943396226415,0.03407264263695419,0.32075471698113206
2019-07-01,climate_sar_change,0.8238993710691824,above_reference,unusual environmental state,False,precip_7d_adjusted,1,-4.224948938686271,3.5555060933918763,2.431093545139018,0.839622641509434,-0.045081602139753096,0.7264150943396226,0.3365636703078741,0.9056603773584906
2019-08-01,climate_sar_change,0.3930817610062893,below_reference,unusual environmental state,False,precip_7d_adjusted,1,0.2048149889726716,-1.792502494191168,0.8023993167364989,0.2169811320754717,-0.10123889588069784,0.37735849056603776,0.08668757818156869,0.5849056603773585
2019-09-01,climate_sar_change,0.39308176100628933,below_reference,unusual environmental state,False,PDD_adjusted,1,-3.61250233224601,0.8502306672507864,1.5177420686264143,0.5849056603773585,-0.11319500412310135,0.24528301886792453,0.03724457011314931,0.3490566037735849
2019-10-01,climate_sar_change,0.47798742138364786,below_reference,unusual environmental state,False,PDD_adjusted,1,-5.2964160928598005,-0.6385109718435175,2.1655001277806103,0.7924528301886793,-0.07448999490192776,0.5,0.014196529173803298,0.14150943396226415
2019-11-01,climate_sar_change,0.22641509433962267,above_reference,unusual environmental state,False,temp_anomaly,1,0.48768422406237066,-0.665028189820637,0.8350897028996072,0.2358490566037736,-0.11847968832032973,0.20754716981132076,0.028249183205701578,0.2358490566037736
