date,temp_mean,temp_max,temp_min,temp_anomaly,precip_1d_max,precip_3d_max,precip_7d_max,precip_30d_max,precip_month,precip_anomaly,PDD,freeze_thaw_cycles,snowfall_mm_we,snow_depth_m,solar_radiation_mj_m2,runoff_mm,snow_fraction,snow_fraction_anomaly,snow_fraction_change,NDSI,NDSI_anomaly,NDSI_change,snow_area_proxy_km2,VV,VH,VV_change,VH_change,VV_anomaly,VH_anomaly,angle_deg,temp_change,PDD_change,antecedent_precipitation_index,environmental_transition_magnitude,sentinel2_scene_count,sentinel2_valid_area_fraction,sentinel2_observation_count,sentinel1_scene_count,sentinel1_valid_area_fraction,sentinel1_observation_count,climate_missing_data_flag,sentinel2_missing_data_flag,sentinel1_missing_data_flag,available_feature_count,missing_data_flag,climate_expected_observation_count,climate_period_completeness,climate_is_complete_period,climate_quality_status,climate_quality_reason,sentinel1_expected_observation_count,sentinel1_period_completeness,sentinel1_is_complete_period,sentinel1_quality_status,sentinel1_quality_reason
2015-07-01,7.094333763905133,12.639700953076227,2.718802440409781,-0.0931176469118846,26.837748472608748,63.21480784777123,112.804178482381,393.5194004428766,396.4236159302554,-1.0863439221525266,219.92434668105912,0.0,9.583312798524767,2.9022010524437114,597.3451892040816,303.95414660842715,,,,,,,,,,,,,,,,,396.4236159302554,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2015-08-01,6.843906118670036,11.975236559551782,2.0488340373781067,-0.1138136057209715,43.61365911690849,72.08225532652251,123.6999758574213,470.492463191324,400.6264341530173,-0.1842927207210655,212.1610896787711,0.0,25.433193679891115,2.9033447218516075,508.685027062632,358.6779345484958,,,,,,,,,,,,,,,-0.25042764523509664,-7.7632570022880145,737.5865076937343,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2015-09-01,5.376388326065215,10.27865128755404,-4.441231771491912,0.3462507470061419,15.54503113685798,35.155432678121784,65.75663129491912,385.313595365167,176.87699479454352,-0.7828828291130505,161.2916497819565,3.0,17.597569394555208,2.902710551292401,547.3058254418544,149.56879860640913,,,,,,,,,,,,,,,-1.4675177926048208,-50.86943989681461,803.8255263342177,,,,,0,0.0,,False,True,True,3,True,30,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2015-10-01,-0.1471486893121974,7.848672420923201,-11.32297558714014,-0.1567254847153879,14.511343085856469,24.20056733340643,27.96901633688899,174.31076231896876,73.2029675155094,-0.0711636064811076,24.607057115670184,28.0,39.15369466542254,2.916404782603131,592.3205765428505,68.55282966076363,,,,,,,,-7.192089027537892,-14.174654200633103,,,1.757520787938046,2.0545338837630673,39.80440596364062,-5.523537015377412,-136.6845926662863,756.4546648995944,,,,,1,0.954102558892544,1.0,False,True,False,5,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.954102558892544,True,GOOD,VV/VH and ROI coverage pass requirements
2015-11-01,-3.990453340099508,4.80322712972752,-15.286951943168647,0.0054708957869198,5.288131376785135,8.70938523482313,27.83702045037502,66.9941149580898,21.549204722556315,-0.4511160451059421,0.07187634485306,15.0,8.219895736929777,2.930440329923726,508.323990244898,39.14216755352584,,,,,,,,,,,,,,,-3.8433046507873105,-24.535180770817124,664.5356698872115,,,,,0,0.0,,False,True,True,3,True,30,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2015-12-01,-6.615558040177489,3.744379580213877,-16.24451529645817,0.123152290744864,2.270153503386803,3.306689193409915,11.586109730315608,28.30298229210813,21.425403878741356,-0.4830995800579287,0.0,9.0,14.725219991836726,2.9155850461806403,461.762083356791,25.531962786569803,,,,,,,,,,,,,,,-2.625104700077981,-0.07187634485306,586.2807232828711,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2016-01-01,-10.2268950961726,-1.379730239642642,-20.12775141845529,-0.4670841653973831,12.403037191947355,16.167652927756755,19.95600231964862,46.01173564313509,46.12903601833265,-0.1359151362833639,0.0,0.0,37.85769087980114,2.982091286262272,496.0569221632653,18.290435388044603,,,,,,,,,,,,,,,-3.6113370559951106,0.0,544.4676508087731,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2016-02-01,-7.37036939909771,3.261703712415081,-22.69716872900492,1.8962501797776217,10.70062121094828,16.57912213036957,19.364397506395186,56.10404382469057,41.67745733586,-0.7274869303283324,0.0,6.0,34.750652742650125,3.0783530063751496,567.8708971062632,17.91019515933326,,,,,,,,,,,,,,,2.85652569707489,0.0,504.4749605233171,,,,,0,0.0,,False,True,True,3,True,29,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2016-03-01,-5.595592091448709,4.349566794280706,-15.89783401435565,0.889724031792123,13.04269998867188,19.05355264311043,28.944877397076567,55.75199973220977,56.55518580742209,-0.2824239321644408,0.0,8.0,37.91352590961535,3.085297958915429,724.3532548952062,28.90832106635908,,,,,,,,,,,,,,,1.7747773076490008,0.0,485.35890225224165,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
2016-04-01,-2.028318638883207,5.067296501014727,-12.409713577603366,0.9129140498776468,7.807751582208334,17.6849250724827,32.014079489758544,81.28239819689897,53.72767845097822,-0.5779830021684869,0.4215799875279811,29.0,28.512730262518183,3.046521257148019,825.9053429099226,33.329168181239844,,,,,,,,,,,,,,,3.567273452565502,0.4215799875279811,466.2827453653836,,,,,0,0.0,,False,True,True,3,True,30,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold
